ori,agency_id,agency_unit,agency_type_id
AK0010100,0,,0
KY0560500,0,,0
AK0011300,1,,0
CT0000900,1,,0
AL0011200,2,,0
AL0020100,3,,0
AL0130300,4,,0
FL0350200,4,,0
VA0530100,4,,0
AL0260100,5,,0
MO0220300,5,,0
AL0590400,6,,0
AL0640100,7,,0
FL0240100,7,,0
TN0580300,7,,0
AR0040400,9,,0
AR0050100,10,,0
NJ0090400,10,,0
OH0311600,10,,0
AR0080100,11,,0
AR0100100,12,,0
AR0120300,13,,0
AR0230100,14,,0
NH0021000,14,,0
SC0260200,14,,0
AR0160100,15,,0
AR0180100,16,,0
AR0210100,17,,0
AR0230300,18,,0
KY0380100,19,,0
MO0140300,19,,0
AR0280100,20,,0
AR0350100,21,,0
AR0430200,22,,0
AR0460100,23,,0
AR0570100,25,,0
AR0580100,26,,0
KY0710100,26,,0
VA0770100,27,,0
AR0600300,28,,0
AR0600400,29,,0
OR0340600,29,,0
AR0600800,30,,0
AR0630200,31,,0
DCMPD0000,32,,0
IN0140100,32,,0
NC0070100,32,,0
NJ0212100,32,,0
UT0271000,32,,0
AR0720200,33,,0
OH0313300,33,,0
PA0029100,33,,0
SC0321100,33,,0
AR0730100,34,,0
AR0730700,35,,0
AR0140100,37,,0
NJ0042300,37,,0
AR0190100,39,,0
AR0260100,41,,0
SD0230200,41,,0
AL0110200,42,,0
AR0600100,42,,0
FL0160200,42,,0
IL0690100,42,,0
NC0670100,42,,0
TX0370100,42,,0
AR0660100,43,,0
AR0660300,44,,0
AR0720100,45,,0
GA0560100,45,,0
NC0260100,45,,0
TN0520100,45,,0
WV0100200,45,,0
AR0720500,46,,0
CT0005200,46,,0
IL0290400,46,,0
ME0040100,46,,0
MI6338800,46,,0
MN0190200,46,,0
NH0090800,46,,0
NM0240200,46,,0
UT0060500,46,,0
AR0730300,47,,0
AZ0020900,48,,0
AZ0070100,50,,0
AZ0070300,51,,0
AZ0070500,52,,0
AZ0071300,53,,0
CA0192500,53,,0
CO0030400,53,,0
MO0953200,53,,0
AZ0071700,54,,0
AZ0072100,55,,0
IL0720700,55,,0
AZ0072300,56,,0
OR0150500,56,,0
AZ0111700,57,,0
AZ0072500,58,,0
AZ0072900,59,,0
AZ0080500,61,,0
AZ0100300,63,,0
AZ0110300,67,,0
AZ0130500,69,,0
ID0270100,69,,0
AZ0131100,70,,0
AZ0090300,71,,0
AZ0080400,72,,0
CA0010200,73,,0
GA0470100,73,,0
KY0270100,73,,0
NY0010100,73,,0
OH0050400,73,,0
OR0220100,73,,0
CA0010700,74,,0
CA0010900,75,,0
NJ0024200,75,,0
TN0240500,75,,0
CA0011300,76,,0
MI1279000,76,,0
NJ0091000,76,,0
OK0090800,76,,0
TN0660100,76,,0
CA001300X,77,,0
NH0030600,77,,0
OH0250300,77,,0
TX0720100,77,,0
VA0770200,77,,0
CA0040200,80,,0
CA0040400,81,,0
WA0240400,81,,0
CA0050100,82,,0
CA0070100,83,,0
CA0070200,84,,0
CA0070400,85,,0
MA0091400,85,,0
NC0130100,85,,0
NH0071600,85,,0
CA0070500,86,,0
CA0070900,87,,0
IA0771400,87,,0
CA0071000,88,,0
IN0890100,88,,0
KY0760200,88,,0
MI5069900,88,,0
MO0890200,88,,0
RI0050500,88,,0
TX0790200,88,,0
VA1220000,88,,0
CA0071200,89,,0
CA0071600,90,,0
CA007260X,93,,0
AR0700100,94,,0
KS0080200,94,,0
CA0090100,95,,0
CA0100500,96,,0
TN0270100,97,,0
CA0120100,98,,0
CA0120300,99,,0
IL1020200,99,,0
MT0270200,99,,0
CA0150200,101,,0
CA0150300,102,,0
CA0170200,103,,0
CA0194200,104,,0
CA0190100,105,,0
CA0190400,106,,0
NJ0050100,106,,0
CA0190500,107,,0
CA0191F00,108,,0
CA0191H0X,109,,0
CA0191R0X,110,,0
CA0191000,111,,0
MI6325500,111,,0
CA0191200,112,,0
IL0168C00,112,,0
CA0191400,113,,0
TX1160200,113,,0
CA0191500,114,,0
CA0191600,115,,0
CA0191800,116,,0
CA0192000,118,,0
CA0192100,119,,0
CA0192200,120,,0
CA0192400,121,,0
CA0192700,122,,0
CA0192800,123,,0
NJ0160400,123,,0
CA0193100,124,,0
CA0193300,125,,0
CA0193500,126,,0
CO0300400,126,,0
OH0182600,126,,0
WA0272300,126,,0
CA0193800,127,,0
CA0193900,128,,0
CA0194100,129,,0
NY0290200,129,,0
CA0194400,130,,0
CA0194600,131,,0
CA0194900,132,,0
CT0010300,132,,0
IA0910200,132,,0
OH0390200,132,,0
CA0195000,133,,0
CA0195100,134,,0
CA0195200,135,,0
CA0195300,136,,0
TX1011500,136,,0
