id,year,state_abbr,race_id,population
0,2009,AK,-1,683142
1,2009,AK,0,467650
2,2009,AK,1,25161
3,2009,AK,2,91939
4,2009,AK,3,31878
5,2009,AK,4,4269
6,2009,AK,5,50632
7,2010,AK,-1,691189
8,2010,AK,0,464150
9,2010,AK,1,22655
10,2010,AK,2,98120
11,2010,AK,3,36021
12,2010,AK,4,6317
13,2010,AK,5,54093
14,2011,AK,-1,700703
15,2011,AK,0,472504
16,2011,AK,1,23426
17,2011,AK,2,97628
18,2011,AK,3,35912
19,2011,AK,4,6848
20,2011,AK,5,55404
21,2012,AK,-1,711139
22,2012,AK,0,477985
23,2012,AK,1,24219
24,2012,AK,2,98976
25,2012,AK,3,37968
26,2012,AK,4,7363
27,2012,AK,5,56792
28,2013,AK,-1,720316
29,2013,AK,0,481638
30,2013,AK,1,25033
31,2013,AK,2,101273
32,2013,AK,3,39200
33,2013,AK,4,8013
34,2013,AK,5,56757
35,2014,AK,-1,728300
36,2014,AK,0,484195
37,2014,AK,1,25148
38,2014,AK,2,102743
39,2014,AK,3,40976
40,2014,AK,4,8335
41,2014,AK,5,58521
42,2015,AK,-1,733375
43,2015,AK,0,484250
44,2015,AK,1,25022
45,2015,AK,2,101313
46,2015,AK,3,42921
47,2015,AK,4,8841
48,2015,AK,5,61755
49,2016,AK,-1,736855
50,2016,AK,0,483518
51,2016,AK,1,24443
52,2016,AK,2,103574
53,2016,AK,3,44218
54,2016,AK,4,8862
55,2016,AK,5,62340
56,2017,AK,-1,738565
57,2017,AK,0,481971
58,2017,AK,1,23702
59,2017,AK,2,104995
60,2017,AK,3,45604
61,2017,AK,4,9075
62,2017,AK,5,62713
63,2018,AK,-1,738516
64,2018,AK,0,478834
65,2018,AK,1,24129
66,2018,AK,2,106660
67,2018,AK,3,46556
68,2018,AK,4,8849
69,2018,AK,5,62461
70,2019,AK,-1,737068
71,2019,AK,0,476015
72,2019,AK,1,24205
73,2019,AK,2,109751
74,2019,AK,3,45920
75,2019,AK,4,9204
76,2019,AK,5,60665
77,2020,AK,-1,736990
78,2020,AK,0,466961
79,2020,AK,1,23894
80,2020,AK,2,107298
81,2020,AK,3,47289
82,2020,AK,4,10485
83,2020,AK,5,68832
84,2021,AK,-1,735951
