"",Total,Total,Senate,Senate,Senate,Total House,House,,House,Legis. Gov.,,State
STATE,Seats,Senate,Dem.,Rep.,other,House Dem.,Rep.,,other,Control Party,,Control
Alabama,140,35,7,26,"1, 1v",105 33,70,,2v,Rep Rep,,Rep
Alaska*,60,20,6,14,,40 16,21,,"2, 1v",Rep* Ind,,Divided
Arizona,90,30,13,16,1v,60 25,35,,,Rep Rep,,Rep
Arkansas,135,35,9,24,2v,100 24,75,,1v,Rep Rep,,Rep
California,120,40,27,13,,80 52,25,,3v,Dem Dem,,Dem
Colorado,100,35,16,18,1,65 37,27,,1v,Divided Dem,,Divided
Connecticut*,187,36,18,18,,151 78,71,,2v,Divided* Dem,,Divided
Delaware,62,21,11,10,,41 25,16,,,Dem Dem,,Dem
Florida,160,40,15,24,1v,120 40,76,,4v,Rep Rep,,Rep
Georgia,236,56,19,36,1v,180 64,114,,2v,Rep Rep,,Rep
Hawaii,76,25,25,0,,51 45,5,,1v,Dem Dem,,Dem
Idaho,105,35,6,29,,70 11,59,,,Rep Rep,,Rep
Illinois,177,59,37,22,,118 66,51,,1v,Dem Rep,,Divided
Indiana,150,50,9,40,1v,100 30,70,,,Rep Rep,,Rep
Iowa,150,50,20,29,1,100 41,59,,,Rep Rep,,Rep
Kansas,165,40,9,31,,125 40,85,,,Rep Rep,,Rep
Kentucky,138,38,11,27,,100 36,63,,1v,Rep Rep,,Rep
Louisiana,144,39,14,25,,105 41,61,,3,Rep Rep Dem,,Divided
Maine,186,35,17,18,,151 74,70,,7,Divided Rep,,Divided
Maryland,188,47,33,14,,141 91,49,,1v,Dem Rep,,Divided
Massachusetts,200,40,32,7,1v,160 124,34,,"1, 1v",Dem Rep,,Divided
Michigan,148,38,11,27,,110 47,63,,,Rep Rep,,Rep
Minnesota,201,67,32,34,1v,134 57,76,,1v,Rep Dem,,Divided
Mississippi,174,52,19,32,1v,122 48,73,,1v,Rep Rep,,Rep
Missouri,197,34,9,25,,163 46,112,,5v,Rep Rep,,Rep
Montana,150,50,18,32,,100 41,58,,1v,Rep Dem,,Divided
Nebraska,49,49,,,49,Unicameral - nonpartisan,,,,N/A Rep,,N/A
Nevada,63,21,10,9,"1, 1v",42 27,14,,1v,Dem Rep,,Divided
New Hampshire,424,24,10,14,,400 175,218,,"3, 4v",Rep Rep,,Rep
New Jersey,120,40,25,15,,80 54,26,,,Dem Dem,,Dem
New Mexico,112,42,26,16,,70 38,32,,,Dem Rep,,Divided
New York,213,63,30,31,2v,150 103,37,,"1, 9v",Divided Dem,,Divided
North Carolina,170,50,15,35,,120 45,75,,,Rep Dem,,Divided
North Dakota,141,47,9,38,,94 13,81,,,Rep Rep,,Rep
Ohio,132,33,9,24,,99 33,64,,2v,Rep Rep,,Rep
Oklahoma,149,48,7,40,1v,101 28,72,,1v,Rep Rep,,Rep
Oregon,90,30,17,13,,60 35,25,,,Dem Dem,,Dem
Pennsylvania,253,50,16,34,,203 80,120,,3v,Rep Dem,,Divided
Rhode Island,113,38,33,5,,75 64,11,,,Dem Dem,,Dem
South Carolina,170,46,18,28,,124 44,77,,3v,Rep Rep,,Rep
South Dakota,105,35,6,29,,70 10,60,,,Rep Rep,,Rep
Tennessee,132,33,5,26,2v,99 25,73,,1v,Rep Rep,,Rep
Texas,181,31,11,20,,150 56,94,,,Rep Rep,,Rep
Utah,104,29,5,23,1v,75 13,61,,1v,Rep Rep,,Rep
Vermont*,180,30,21,7,2,150 83,53,,14,Dem Rep,,Divided
Virginia,140,40,19,21,,100 49,51,,,Rep Dem,,Divided
Washington,147,49,26,22,1v,98 50,48,,,Dem Dem,,Dem
West Virginia,134,34,12,22,,100 36,63,,1v,Rep Rep,,Rep
Wisconsin,132,33,13,18,2v,99 35,62,,2v,Rep Rep,,Rep
Wyoming,90,30,3,27,,60 9,51,,,Rep Rep,,Rep
"",,,,,,,,,,"32R, 13D, 33R",,"25R, 7D,"
Total States,7383,1972,789,1108,"55, 20v",5411 2337,2986,"31, 57v",,"4Div 16D,1I",,17Div
"",Total,Total,Senate,Senate,Senate,Total House,House,,House,Legis. Gov.,,Territory
U.S. Territories,Seats,Senate,Dem.,Rep.,other,House Dem.,Rep.,,other,Control Party,,Control
American Samoa,39,18,,Non-partisan,,21 Non-partisan,,,,N/A,,N/A
District of Columbia,13,13,12,0,1,Unicameral - nonpartisan,,,,Dem N/A,,N/A
Guam,15,15,9,6,,Unicameral - nonpartisan,,,,Dem,,Divided
Mariana Islands,29,9,0,7,2,20 0,15,,5,Rep,,Divided
Puerto Rico,78,27,7PDP,21NPP,2,51 16PDP,34NPP,,1,NPP NPP,,NPP
Virgin Islands,15,15,,,,Unicameral - nonpartisan,,,,N/A,,N/A
