"",Total,Total,Senate,Senate,Senate Total,House,House,,House,Leg.,Gov.,State
STATE,Seats,Senate,Dem.,Rep.,other House,Dem.,Rep.,,other,Control,Party,Control
Alabama,140,35,7,26,2v 105,28,77,,,Rep,Rep,Rep
Alaska,60,20,7,13,40,15,21,,4,Rep,Rep,Rep
Arizona,90,30,14,16,60,28,31,,1v,Rep,Rep,Rep
Arkansas,135,35,7,27,1 100,22,78,,,Rep,Rep,Rep
California,120,40,30,9,1v 80,60,19,,1,Dem,Dem,Dem
Colorado,100,35,20,15,65,41,24,,,Dem,Dem,Dem
Connecticut,187,36,23,12,1v 151,97,54,,,Dem,Dem,Dem
Delaware,62,21,14,7,41,26,15,,,Dem,Dem,Dem
Florida,160,40,16,24,120,42,78,,,Rep,Rep,Rep
Georgia,236,56,22,34,180,76,103,,1v,Rep,Rep,Rep
Hawaii,76,25,24,1,51,47,4,,,Dem,Dem,Dem
Idaho,105,35,7,28,70,12,58,,,Rep,Rep,Rep
Illinois,177,59,41,18,118,73,45,,,Dem,Dem,Dem
Indiana,150,50,11,39,100,29,71,,,Rep,Rep,Rep
Iowa,150,50,18,32,100,41,59,,,Rep,Rep,Rep
Kansas,165,40,11,29,125,41,84,,,Rep,Dem,Divided
Kentucky,138,38,8,30,100,25,75,,,Rep,Dem,Divided
Louisiana,144,39,12,27,105,35,67,,"2, 1v",Rep,Dem,Divided
Maine,186,35,21,13,1v 151,80,66,,5,Dem,Dem,Dem
Maryland,188,47,32,15,141,99,42,,,Dem,Rep,Divided
Massachusetts,200,40,37,3,160,128,30,,"1, 1v",Dem,Rep,Divided
Michigan,148,38,16,22,110,52,58,,,Rep,Dem,Divided
Minnesota,201,67,31,34,2 134,70,64,,,Divided,Dem,Divided
Mississippi,174,52,16,36,122,46,75,,1,Rep,Rep,Rep
Missouri,197,34,10,24,163,48,114,,1v,Rep,Rep,Rep
Montana,150,50,19,31,100,33,67,,,Rep,Rep,Rep
Nebraska,49,49,,,4U9nicameral - nonpartisan,,,,,N/A,Rep,N/A
Nevada,63,21,12,9,42,26,16,,,Dem,Dem,Dem
New Hampshire,424,24,10,14,400,187,213,,,Rep,Rep,Rep
New Jersey,120,40,25,15,80,52,28,,,Dem,Dem,Dem
New Mexico,112,42,27,15,70,45,24,,1,Dem,Dem,Dem
New York,213,63,43,20,150,106,43,,1,Dem,Dem,Dem
North Carolina,170,50,22,28,120,51,69,,,Rep,Dem,Divided
North Dakota,141,47,7,40,94,14,80,,,Rep,Rep,Rep
Ohio,132,33,8,25,99,35,64,,,Rep,Rep,Rep
Oklahoma,149,48,9,39,101,19,82,,,Rep,Rep,Rep
Oregon,90,30,18,11,1 60,37,23,,,Dem,Dem,Dem
Pennsylvania,253,50,21,27,"1, 1v 203",90,112,,1v,Rep,Dem,Divided
Rhode Island,113,38,33,5,75,65,10,,,Dem,Dem,Dem
South Carolina,170,46,16,30,124,43,81,,,Rep,Rep,Rep
South Dakota,105,35,3,32,70,8,62,,,Rep,Rep,Rep
Tennessee,132,33,6,27,99,26,73,,,Rep,Rep,Rep
Texas,181,31,12,19,150,67,82,,1v,Rep,Rep,Rep
Utah,104,29,6,23,75,17,58,,,Rep,Rep,Rep
Vermont,180,30,21,7,2 150,93,46,,11,Dem,Rep,Divided
Virginia,140,40,21,18,1v 100,55,45,,,Dem,Dem,Dem
Washington,147,49,29,20,98,57,41,,,Dem,Dem,Dem
West Virginia,134,34,11,23,100,23,77,,,Rep,Rep,Rep
Wisconsin,132,33,12,20,1v 99,38,60,,1v,Rep,Dem,Divided
Wyoming,90,30,2,28,60,7,51,,2,Rep,Rep,Rep
"",,,,,,,,,,"30R, 18D,","2  7R,","23R,"
"",,,,,,,,,,1 Div.,23D,"15D,"
Total States,7383,1972,848,1060,"56, 8v 5411",2455,2919,,"29, 8v",,,11 Div.
"",Total,Total,Senate,Senate,Senate Total,House,House,,,,Gov.,
U.S. Territories,Seats,Senate,Dem.,Rep.,other House,Dem.,Rep.,,,,Party,
American Samoa,39,18,,Non-partisan,21,Non-partisan,,,,,Dem,
District of Columbia,13,13,11,0,2 Unicameral - nonpartisan,,,,,,N/A,
Guam,15,15,8,7,Unicameral - nonpartisan,,,,,,Dem,
Mariana Islands,29,9,1,5,3 20,8,9,,3,Rep,Rep,Rep
Puerto Rico,78,27,12 PDP,10 NPP,5 51,26 PDP,21 NPP,,4,PDP,NPP,Divided
Virgin Islands,15,15,9,0,6 Unicameral - nonpartisan,,,,,Dem,Dem,Dem
